date,month,numerator,denominator,calc_value,org_code,name
2024-04-01,60,6707,15262,0.4394574760843926,W2U3Z,NHS NORTH WEST LONDON
2019-04-01,0,1736,3161,0.549193293261626,00Q,NHS BLACKBURN WITH DARWEN
2019-05-01,1,1877,3355,0.5594634873323397,00Q,NHS BLACKBURN WITH DARWEN
2019-06-01,2,1734,3171,0.5468306527909177,00Q,NHS BLACKBURN WITH DARWEN
2019-07-01,3,1868,3366,0.5549613784907903,00Q,NHS BLACKBURN WITH DARWEN
2019-08-01,4,1971,3532,0.5580407701019252,00Q,NHS BLACKBURN WITH DARWEN
2019-09-01,5,1838,3323,0.5531146554318387,00Q,NHS BLACKBURN WITH DARWEN
2019-10-01,6,2041,3652,0.5588718510405257,00Q,NHS BLACKBURN WITH DARWEN
2019-11-01,7,1951,3443,0.5666569851873366,00Q,NHS BLACKBURN WITH DARWEN
2019-12-01,8,2041,3610,0.5653739612188365,00Q,NHS BLACKBURN WITH DARWEN
2020-01-01,9,1985,3595,0.5521557719054242,00Q,NHS BLACKBURN WITH DARWEN
2020-02-01,10,1791,3270,0.5477064220183486,00Q,NHS BLACKBURN WITH DARWEN
2020-03-01,11,2912,5171,0.5631405917617482,00Q,NHS BLACKBURN WITH DARWEN
2020-04-01,12,1836,3374,0.5441612329579134,00Q,NHS BLACKBURN WITH DARWEN
2020-05-01,13,1827,3439,0.531259086943879,00Q,NHS BLACKBURN WITH DARWEN
2020-06-01,14,1815,3437,0.5280768111725341,00Q,NHS BLACKBURN WITH DARWEN
2020-07-01,15,1830,3448,0.5307424593967517,00Q,NHS BLACKBURN WITH DARWEN
2020-08-01,16,1702,3145,0.5411764705882353,00Q,NHS BLACKBURN WITH DARWEN
2020-09-01,17,1995,3573,0.5583543240973972,00Q,NHS BLACKBURN WITH DARWEN
2020-10-01,18,1986,3719,0.5340145200322668,00Q,NHS BLACKBURN WITH DARWEN
2020-11-01,19,1848,3451,0.5354969574036511,00Q,NHS BLACKBURN WITH DARWEN
2020-12-01,20,1908,3617,0.5275089853469727,00Q,NHS BLACKBURN WITH DARWEN
2021-01-01,21,1811,3442,0.5261475886112725,00Q,NHS BLACKBURN WITH DARWEN
2021-02-01,22,1679,3173,0.5291522218720454,00Q,NHS BLACKBURN WITH DARWEN
2021-03-01,23,1845,3492,0.5283505154639175,00Q,NHS BLACKBURN WITH DARWEN
2021-04-01,24,1812,3370,0.5376854599406529,00Q,NHS BLACKBURN WITH DARWEN
2021-05-01,25,1788,3287,0.5439610587161545,00Q,NHS BLACKBURN WITH DARWEN
2021-06-01,26,1993,3633,0.5485824387558491,00Q,NHS BLACKBURN WITH DARWEN
2021-07-01,27,1962,3592,0.5462138084632516,00Q,NHS BLACKBURN WITH DARWEN
2021-08-01,28,1839,3425,0.536934306569343,00Q,NHS BLACKBURN WITH DARWEN
2021-09-01,29,2012,3690,0.5452574525745257,00Q,NHS BLACKBURN WITH DARWEN
2021-10-01,30,2026,3629,0.5582805180490493,00Q,NHS BLACKBURN WITH DARWEN
2021-11-01,31,2108,3794,0.5556141275698471,00Q,NHS BLACKBURN WITH DARWEN
2021-12-01,32,2078,3802,0.5465544450289321,00Q,NHS BLACKBURN WITH DARWEN
2022-01-01,33,1995,3729,0.5349959774738536,00Q,NHS BLACKBURN WITH DARWEN
2022-02-01,34,1725,3230,0.5340557275541795,00Q,NHS BLACKBURN WITH DARWEN
2022-03-01,35,1980,3655,0.5417236662106704,00Q,NHS BLACKBURN WITH DARWEN
2022-04-01,36,1956,3553,0.550520686743597,00Q,NHS BLACKBURN WITH DARWEN
2022-05-01,37,1960,3614,0.5423353624792474,00Q,NHS BLACKBURN WITH DARWEN
2022-06-01,38,2049,3705,0.5530364372469636,00Q,NHS BLACKBURN WITH DARWEN
2022-07-01,39,1901,3503,0.5426777048244362,00Q,NHS BLACKBURN WITH DARWEN
2022-08-01,40,1817,3442,0.5278907611853574,00Q,NHS BLACKBURN WITH DARWEN
2022-09-01,41,1901,3450,0.5510144927536232,00Q,NHS BLACKBURN WITH DARWEN
